how many noun0 of the noun1 be old than value ?    select count ( * ) from noun0 where age > value 
noun0 the noun1 , bear noun2 and noun3 of the noun4 of noun5 order by noun6 .    select noun1 , born_state , noun6 from noun4 order by noun6 
noun0 the noun1 noun2 , noun3 and noun4 of each propn5 .    select noun1 , noun3 , budget_in_billion from propn5 
what be the maximum and minimum noun0 of the noun1 ?    select max ( budget_in_billion ) , min ( budget_in_billion ) from noun1 
what be the average noun0 of noun1 of the noun2 whose propn3 be between value and value ?    select avg ( num_employees ) from noun2 where propn3 between value and value 
what be the noun0 of the noun1 who be bear outside the propn2 noun3 ?    select noun0 from noun1 where born_state ! = value 
what be the propn0 noun1 noun2 of the noun3 manage by a propn4 bear in noun5 ' ' ?    select propn0 t1 . noun1 from noun3 as t1 join management as t2 on t1 . department_id = t2 . department_id join head as t3 on t2 . head_id = t3 . head_id where t3 . born_state = value 
what be the noun0 of the noun1 where at least 3 noun2 be bear ?    select born_state from noun2 group by born_state have count ( * ) > = value 
in which noun0 be most noun1 establish ?    select creation from noun1 group by creation order by count ( * ) desc limit value 
show the noun0 and noun1 of noun2 for the noun3 manage by noun4 whose temporary act noun5 be ' ' ?    select t1 . noun0 , t1 . num_employees from noun3 as t1 join management as t2 on t1 . department_id = t2 . department_id where t2 . temporary_acting = noun5 
how many act noun0 be there ?    select count ( distinct temporary_acting ) from management 
how many noun0 be lead by noun1 who be not mention ?    select count ( * ) from noun0 where department_id not in ( select department_id from management ) 
what be the propn0 noun1 of the noun2 who be act ?    select propn0 t1 . noun1 from management as t2 join noun2 as t1 on t1 . head_id = t2 . head_id where t2 . temporary_acting = value 
noun0 the noun1 where both the propn2 of ' ' propn3 and the propn4 of ' noun5 ' be bear .    select t3 . born_state from propn3 as t1 join management as t2 on t1 . department_id = t2 . department_id join head as t3 on t2 . head_id = t3 . head_id where t1 . name = value intersect select t3 . born_state from propn3 as t1 join management as t2 on t1 . department_id = t2 . department_id join head as t3 on t2 . head_id = t3 . head_id where t1 . name = value 
